,recon_loss,sindy_loss_ddx,sindy_loss_z,sindy_regular_loss,tot
116,0.0006048349797369001,1.3971667568734352,0.06307523943325306,2.008973476734567,0.0013266618888666654
117,0.0006315743809496548,1.3987709080919306,0.06694681992001356,2.005400913826963,0.0013543612192424529
118,0.0006121635756534624,1.3916136077109804,0.04330866714503537,2.001391263718301,0.0013301497662162526
119,0.0006052337625891247,1.3848198728358492,0.0562931244321009,1.9977364425963544,0.001320435777009326
120,0.0005930072653969314,1.3824472630277593,0.04549329731851182,1.9918691668104618,0.0013064242778048712
121,0.0005851412681798312,1.3775213449559314,0.0538341159278408,1.9854005549816376,0.0012964476865934247
122,0.0005853309954313483,1.3740083461112165,0.057352759300711306,1.9811168947118394,0.0012950140058974478
123,0.0005831859629363455,1.369540809316838,0.05229872893145744,1.9779125490087144,0.0012903504625973391
124,0.000586902623949077,1.3663920950382313,0.06088830827874072,1.9753317122763776,0.0012928964272934072
125,0.0005695591950070787,1.362973189100306,0.05685375571409439,1.9722572806033682,0.0012736110886103138
126,0.0006001519591626811,1.3681552853990109,0.09281910319832411,1.968668282032013,0.001308557280200593
127,0.0006416686454495574,1.3768705256441807,0.23324723478327405,1.9652821561123461,0.0013614191235280892
128,0.0006057665450498462,1.3649296963468511,0.16082330464207112,1.9600862809952269,0.0013158734481623197
129,0.000577434715988273,1.3591409059281045,0.05302056303604486,1.9591522457751822,0.0012792477376778867
130,0.0005579635440842546,1.345060092337588,0.0757600528564542,1.956404815328882,0.0012538456803861452
131,0.0005645175325743695,1.3436307640785867,0.06218454745063122,1.9520104844519433,0.0012589622687726738
132,0.000559089213369434,1.337379701594089,0.04672373367592375,1.9485963354719447,0.0012496012384369177
133,0.0005398829742532937,1.330718734162919,0.042954708172127286,1.943093794457456,0.0012268210449156926
134,0.0005502181633578692,1.3298988240830443,0.03580780408563132,1.937298541373395,0.0012363309803557522
135,0.0005358507568165264,1.3196554824392845,0.04049605654275164,1.9327360302843946,0.001217030692211491
136,0.0005314320624939741,1.3179593980312347,0.040433896864031225,1.928788199069652,0.00121172136711353
137,0.0005451720393698741,1.3190369269949325,0.03359565455862816,1.924947866734038,0.0012256198010328126
138,0.0005264526463430771,1.3111135084578331,0.03933528695810348,1.9227670012636389,0.0012032038698151233
139,0.0005229169260116017,1.3083482676364007,0.03758227751847911,1.9194927748213424,0.0011981651372712184
140,0.0005323300967884666,1.304611438132347,0.03637828418311286,1.9155350505037512,0.0012056101150711642
141,0.0005257009897638667,1.2994685629580884,0.046094140929586074,1.911267751074852,0.0011968526820790894
142,0.0005260436396867513,1.2944940455416416,0.04401562598712267,1.908916601475249,0.0011945806271545193
143,0.0005331659300049688,1.2992298298693719,0.042073835281932606,1.9066641279991636,0.001203951219027426
144,0.0005387657878058467,1.2981705969952522,0.035691531731727275,1.903518997608347,0.0012086708850395727
145,0.000508390551252152,1.2924738171252799,0.03578390113692334,1.8999090816112274,0.0011754157764718254
146,0.0005009763755221316,1.2808170870263527,0.042544837783467265,1.8964831943207598,0.0011624770147349447
147,0.0005000996520430681,1.2788476284514083,0.04156096190451942,1.8914943210622097,0.0011605164859731225
148,0.0005105779165070147,1.283625993322819,0.03922262611462081,1.8891708166041272,0.0011732437761817524
149,0.00048488674578851365,1.2770098219526576,0.03612682609719799,1.885835665337583,0.0011440563842931644
