"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
2.241372564E0,-5.976377130E-1,1.288276911E0,-1.414722204E0
2.260287303E0,-5.506024361E-1,1.258956194E0,-1.477028728E0
2.279201991E0,-4.388174117E-1,1.233300567E0,-1.545443535E0
2.298116731E0,-2.830513418E-1,1.198482275E0,-1.599198103E0
2.317031470E0,-1.089598835E-1,1.146560311E0,-1.629129648E0
2.335946210E0,5.474718660E-2,1.068982720E0,-1.620577812E0
2.354860949E0,1.781383306E-1,9.645278454E-1,-1.569266558E0
2.373775637E0,2.410555929E-1,8.368607163E-1,-1.483137131E0
2.392690376E0,2.404447496E-1,6.933116317E-1,-1.368908763E0
2.411605116E0,1.787491739E-1,5.393781066E-1,-1.233911514E0
2.430519856E0,7.246175408E-2,3.836120665E-1,-1.092805743E0
2.449434595E0,-5.703786388E-2,2.321219593E-1,-9.535325766E-1
2.468349335E0,-1.859266311E-1,8.735115826E-2,-8.222004175E-1
2.487264022E0,-2.940466106E-1,-4.581354558E-2,-7.030851841E-1
2.506178762E0,-3.649048805E-1,-1.674485058E-1,-6.010736823E-1
2.525093501E0,-3.899496198E-1,-2.767901719E-1,-5.118899941E-1
2.544008241E0,-3.685699701E-1,-3.775799572E-1,-4.324798584E-1
2.562922981E0,-3.074852526E-1,-4.704287350E-1,-3.628432751E-1
2.581837720E0,-2.195232362E-1,-5.590016246E-1,-2.944283783E-1
2.600752408E0,-1.156791970E-1,-6.481853127E-1,-2.223484069E-1
2.619667147E0,-1.366770733E-2,-7.385907173E-1,-1.386623234E-1
2.638581887E0,7.185091078E-2,-8.332720399E-1,-4.153761268E-2
2.657496626E0,1.298813969E-1,-9.340618253E-1,7.574506104E-2
2.676411366E0,1.561478376E-1,-1.039738417E0,2.113531530E-1
2.695326106E0,1.500393599E-1,-1.149080038E0,3.622324169E-1
2.714240793E0,1.170536056E-1,-1.258421659E0,5.271611810E-1
2.733155533E0,6.940752268E-2,-1.365930796E0,7.000309825E-1
2.752070272E0,2.176143415E-2,-1.466720581E0,8.704573512E-1
2.770985012E0,-1.366770733E-2,-1.553460956E0,1.028132319E0
2.789899751E0,-2.038702741E-2,-1.622486711E0,1.164962053E0
2.808814491E0,1.015533600E-2,-1.668911099E0,1.272471189E0
2.827729231E0,8.040276915E-2,-1.689679861E0,1.342718601E0
2.846643918E0,1.848576516E-1,-1.684182286E0,1.375704408E0
2.865558658E0,3.161898255E-1,-1.654861569E0,1.375704408E0
2.884473397E0,4.609606266E-1,-1.605993748E0,1.349437952E0
2.903388137E0,6.038988829E-1,-1.544909120E0,1.309732914E0
2.922302876E0,7.285116911E-1,-1.483213544E0,1.270638704E0
2.941217616E0,8.250255585E-1,-1.426404715E0,1.244983077E0
2.960132303E0,8.885536790E-1,-1.379980326E0,1.241928816E0
2.979047043E0,9.197068810E-1,-1.346994519E0,1.266973615E0
2.997961783E0,9.245936871E-1,-1.323782325E0,1.314619660E0
3.016876522E0,9.148201346E-1,-1.303013563E0,1.375093579E0
3.035791262E0,9.013814926E-1,-1.273082018E0,1.428237200E0
3.054705949E0,8.818343878E-1,-1.219938278E0,1.443508387E0
3.073620689E0,8.665632010E-1,-1.143582463E0,1.423961282E0
3.092535428E0,8.690065742E-1,-1.049511909E0,1.379980326E0
3.111450168E0,8.861103058E-1,-9.334509969E-1,1.307900310E0
3.130364908E0,9.099333286E-1,-8.021187782E-1,1.211997271E0
3.149279647E0,9.380323291E-1,-6.610130668E-1,1.103266478E0
3.168194387E0,9.618553519E-1,-5.168531537E-1,9.939248562E-1
3.187109074E0,9.746831656E-1,-3.781908154E-1,8.961129189E-1
3.206023814E0,9.679638147E-1,-2.511345744E-1,8.148702383E-1
3.224938553E0,9.410865307E-1,-1.369061470E-1,7.556180358E-1
3.243853293E0,8.922187686E-1,-3.481829539E-2,7.153021693E-1
3.262768033E0,8.238039017E-1,5.497625470E-2,6.945333481E-1
3.281682772E0,7.388961315E-1,1.374406368E-1,6.810947061E-1
3.300597460E0,6.448256373E-1,2.162399292E-1,6.676560640E-1
3.319512199E0,5.477009416E-1,2.962609231E-1,6.487197876E-1
3.338426939E0,4.530195892E-1,3.799470067E-1,6.145123243E-1
3.357341678E0,3.662792742E-1,4.691306949E-1,5.589252710E-1
3.376256418E0,2.905342281E-1,5.662553906E-1,4.825693369E-1
3.395171158E0,2.270061076E-1,6.682668924E-1,3.842229247E-1
3.414085897E0,1.763057858E-1,7.751652002E-1,2.687727809E-1
3.433000585E0,1.353790164E-1,8.838959932E-1,1.398840249E-1
3.451915324E0,1.030041203E-1,9.907942414E-1,3.665083554E-3
3.470830064E0,7.307260484E-2,1.092805743E0,-1.356080920E-1
3.489744803E0,4.497363046E-2,1.186265349E0,-2.693836391E-1
3.508659543E0,1.198787708E-2,1.266286373E0,-3.933856487E-1
3.527574283E0,-2.832804248E-2,1.333479524E0,-5.051707029E-1
3.546488970E0,-7.841751724E-2,1.385401607E0,-6.022953987E-1
3.565403710E0,-1.358371526E-1,1.423274159E0,-6.872031689E-1
3.584318449E0,-1.963110417E-1,1.448929667E0,-7.605048418E-1
3.603233189E0,-2.561740577E-1,1.465422630E0,-8.264763355E-1
3.622147928E0,-3.093177676E-1,1.473974466E0,-8.912261724E-1
3.641062668E0,-3.471903205E-1,1.480082870E0,-9.565867782E-1
3.659977408E0,-3.655157387E-1,1.486802220E0,-1.026834249E0
3.678892095E0,-3.606289625E-1,1.494132400E0,-1.103190184E0
3.697806835E0,-3.337516785E-1,1.502073407E0,-1.185654521E0
3.716721574E0,-2.848838866E-1,1.510625243E0,-1.272394896E0
3.735636314E0,-2.231883109E-1,1.516122937E0,-1.358524323E0
3.754551053E0,-1.553842723E-1,1.514901161E0,-1.440377831E0
3.773465793E0,-9.185615927E-2,1.502684236E0,-1.513068676E0
3.792380533E0,-4.115583375E-2,1.475196123E0,-1.571709991E0
3.811295220E0,-7.559234742E-3,1.431825995E0,-1.613247633E0
3.830209960E0,7.101099472E-3,1.371962905E0,-1.633405566E0
3.849124699E0,-1.450762269E-3,1.292552829E0,-1.626075387E0
3.868039439E0,-3.504735976E-2,1.193595529E0,-1.582705259E0
3.886954178E0,-7.536327839E-2,1.089140654E0,-1.525896430E0
3.905868918E0,-1.040730998E-1,9.859074950E-1,-1.474585295E0
3.924783658E0,-1.181225851E-1,8.851176500E-1,-1.424495816E0
3.943698397E0,-1.120141149E-1,7.867712975E-1,-1.384790778E0
3.962613137E0,-8.208259940E-2,6.963658929E-1,-1.357913494E0
3.981527824E0,-3.626905754E-2,6.114581227E-1,-1.342642307E0
4.000442564E0,1.931804419E-2,5.296045542E-1,-1.335922956E0
4.019357303E0,7.612683624E-2,4.483618736E-1,-1.331036210E0
4.038272043E0,1.201078445E-1,3.616215885E-1,-1.319430113E0
4.057186783E0,1.427091956E-1,2.681619525E-1,-1.297439575E0
4.076101522E0,1.408766508E-1,1.667613089E-1,-1.258956194E0
4.095016262E0,1.133885235E-1,5.375456065E-2,-1.199093223E0
4.113931001E0,6.390989572E-2,-6.841489673E-2,-1.118461370E0
4.132845689E0,3.817795368E-4,-1.973800212E-1,-1.020725727E0
4.151760428E0,-6.803311408E-2,-3.305447102E-1,-9.064973593E-1
4.170675168E0,-1.327829212E-1,-4.655419588E-1,-7.794411182E-1
4.189589908E0,-1.853157878E-1,-6.005392075E-1,-6.481089592E-1
4.208504647E0,-2.189123929E-1,-7.300388217E-1,-5.149442554E-1
4.227419387E0,-2.311293334E-1,-8.534299731E-1,-3.836120665E-1
4.246334126E0,-2.225774676E-1,-9.676584005E-1,-2.608317733E-1
4.265248866E0,-1.950893402E-1,-1.070280790E0,-1.484358907E-1
4.284163606E0,-1.547734290E-1,-1.162518740E0,-4.642439261E-2
4.303078345E0,-1.083490327E-1,-1.243150473E0,4.642439261E-2
4.321993033E0,-6.131379306E-2,-1.315230489E0,1.331647038E-1
4.340907772E0,-2.160872146E-2,-1.378758669E0,2.174616307E-1
4.359822512E0,1.076618303E-2,-1.438010812E0,3.042019308E-1
4.378737251E0,3.275668249E-2,-1.491765380E0,3.964398801E-1
4.397651991E0,4.680617154E-2,-1.544298172E0,4.978405237E-1
4.416566731E0,5.780142173E-2,-1.594387650E0,6.077930331E-1
4.435481470E0,7.368344814E-2,-1.642644644E0,7.256865501E-1
4.454396210E0,1.005607322E-1,-1.686625600E0,8.460234404E-1
4.473310949E0,1.427091956E-1,-1.723276496E0,9.633824825E-1
4.492225689E0,2.037939131E-1,-1.748932004E0,1.070280790E0
4.511140376E0,2.838149071E-1,-1.759927273E0,1.160075307E0
4.530055116E0,3.778853714E-1,-1.754429698E0,1.227879405E0
4.548969856E0,4.811185598E-1,-1.730606675E0,1.270027757E0
4.567884595E0,5.849626064E-1,-1.689069033E0,1.285909891E0
4.586799335E0,6.796439290E-1,-1.631649375E0,1.281633854E0
4.605714074E0,7.614974380E-1,-1.563234448E0,1.260254264E0
4.624628814E0,8.250255585E-1,-1.488711119E0,1.230322719E0
4.643543553E0,8.683957458E-1,-1.410522699E0,1.200391173E0
4.662458293E0,8.958838582E-1,-1.333555937E0,1.177789927E0
4.681373033E0,9.105442166E-1,-1.259032607E0,1.162518740E0
4.700287720E0,9.215394258E-1,-1.185730934E0,1.157021046E0
